ou_code,yjs_name,pcc_area,yjb_country,yjb_region,yot_region,2018,2019,2020,2021
F00WF00,Waltham Forest,London,England,London,London,25505,25674,25962,26172
F00WW00,Wandsworth,London,England,London,London,22363,23031,23943,23804
F00WK00,Warwickshire,Warwickshire,England,West Midlands,West Midlands,50602,51799,52998,54527
F00WB00,West Berkshire,Thames Valley,England,South East,South East,16328,16539,16934,16762
F00WC00,West Mercia,West Mercia,England,West Midlands,West Midlands,113418,115388,117921,117989
F00WS00,West Sussex,Sussex,England,South East,South East,75679,77656,79864,80768
F00CW00,Westminster,London,England,London,London,19014,20004,21470,14192
F00WI00,Wigan,Greater Manchester,England,North West,North West,29947,30704,31472,31168
F00WT00,Wiltshire,Wiltshire,England,South West,South West,47166,48054,49298,48379
F00WM00,Windsor and Maidenhead,Thames Valley,England,South East,South East,16074,16358,16740,16747
F00WR00,Wirral,Merseyside,England,North West,North West,29803,30158,30571,30541
F00RF00,Wokingham,Thames Valley,England,South East,South East,17471,18166,18981,19200
F00WO00,Wolverhampton,West Midlands,England,West Midlands,West Midlands,24959,25624,26657,27974
F00WX00,Wrexham,North Wales,Wales,Wales,Wales,12592,12863,13179,13023
F00YO00,York,North Yorkshire,England,Yorkshire,Yorkshire,15952,16274,16549,16240
